actor,id,mesh,x_cm,y_cm,z_cm,qx,qy,qz,qw,sx,sy,sz
MoonRock_000000,0,2,57935.269253097,-11257.250833895,380.757725489,0.002851591,-0.001358610,0.545363611,0.838193626,0.206335010,0.206334456,0.206430041
MoonRock_000001,1,2,57896.536342941,-11051.379251863,381.433594477,-0.009465848,0.008195769,-0.957952514,0.286653464,0.364864168,0.364876809,0.365274238
MoonRock_000002,2,2,57550.515835128,-10951.598978426,389.462435496,-0.016582442,0.023685118,-0.464510756,0.885095360,0.181089764,0.180930590,0.181615206
MoonRock_000003,3,2,57435.562221847,-10938.757181551,392.543542635,-0.009177961,0.018677026,0.175117553,0.984327576,0.117176833,0.117240029,0.117383751
MoonRock_000004,4,2,57891.653530441,-10914.452982332,384.178507578,0.010302099,0.011411977,-0.714457691,0.699509715,0.197802581,0.197797972,0.197928110
MoonRock_000005,5,2,57685.293667160,-10793.249369051,385.004341852,-0.005603547,0.003273270,-0.657228156,0.753663743,0.232665849,0.232666422,0.232827514
MoonRock_000006,6,2,57450.601284347,-10706.335306551,391.116678965,0.028656481,0.031570686,-0.432605784,0.900574446,0.148385209,0.148609577,0.149600166
MoonRock_000007,7,2,57375.967495285,-6520.593119051,498.879993212,-0.012751302,0.005161995,0.830658913,0.556611650,0.390734323,0.390727776,0.391079631
MoonRock_000008,8,2,57960.842983566,-5971.069193270,448.778379214,-0.026513830,0.019572525,-0.008393079,0.999421577,0.450805689,0.450602024,0.452710125
MoonRock_000009,9,2,59347.158901535,-5525.158548738,251.177776110,-0.029136603,0.053704161,-0.926079589,0.372348648,0.354556401,0.353387631,0.359753622
MoonRock_000010,10,2,59588.699428878,-5461.718607332,229.788649332,0.091666324,0.072848057,-0.595241327,0.794970571,0.318156609,0.321734832,0.336659974
MoonRock_000011,11,2,59016.507046066,-5291.723490145,297.154534113,0.035618515,0.067978431,0.247531157,0.965835690,0.356198931,0.355961675,0.365204640
MoonRock_000012,12,2,58495.340053878,-5273.303079988,352.404248964,0.007205009,0.070027903,0.699471638,0.711184652,0.259750989,0.258838017,0.263539431
MoonRock_000013,13,2,58758.902065597,-5270.446634676,326.798165095,0.059197237,-0.027030607,0.988941058,0.133268964,0.211011378,0.211889365,0.215312695
MoonRock_000014,14,2,59137.246792160,-5123.791361238,310.274136316,0.100085441,-0.014779063,0.071559323,0.992292168,0.484263006,0.480018490,0.504108702
MoonRock_000015,15,2,59088.906948410,-4980.602884676,331.486404192,0.101843876,-0.017645339,0.851819624,0.513536557,0.108407997,0.108808549,0.111327349
MoonRock_000016,16,2,58652.334682785,-4853.723001863,361.911165964,-0.022503660,0.046796642,-0.906098190,0.419868704,0.280737020,0.280196268,0.283414516
MoonRock_000017,17,2,57397.183315597,-4543.847513582,489.310491335,-0.005585018,0.012469760,-0.976100927,0.216887745,0.444725439,0.444530237,0.445242208
MoonRock_000018,18,2,57872.952358566,-4683.166361238,437.553918612,0.021610141,0.065689761,0.228362968,0.971116992,0.351398398,0.351845138,0.358927249
MoonRock_000019,19,2,58301.028530441,-2637.109232332,477.939403307,0.000722752,-0.006305008,-0.999765736,0.020692926,0.390337113,0.390342108,0.390217169
MoonRock_000020,20,2,58637.576382003,-4810.265970613,364.951002848,0.033711377,0.019580668,0.229007496,0.972643669,0.112503807,0.112377936,0.113166963
MoonRock_000021,21,2,58739.187710128,-2083.556986238,458.334481966,0.011428831,-0.012265520,-0.931571103,0.363172437,0.267953307,0.267892499,0.268188096
MoonRock_000022,22,2,59562.576382003,-2718.554544832,464.204347384,-0.000629936,0.002947475,-0.051874423,0.998649067,0.280318594,0.280317927,0.280286453
MoonRock_000023,23,2,60196.951382003,-3884.570169832,510.747707140,-0.038163801,-0.041968211,0.462066196,0.885029392,0.272839650,0.272118229,0.275863762
MoonRock_000024,24,2,60980.069057785,-3943.383646395,561.836326372,0.004440682,-0.022208034,-0.534957714,0.844575235,0.424578034,0.424447868,0.425047763
MoonRock_000025,25,2,61200.552456222,-3876.745462801,567.887866747,0.002582783,-0.026041033,-0.810309395,0.585417696,0.105180055,0.105135104,0.105382646
MoonRock_000026,26,2,61204.507534347,-1752.331400301,484.043967974,-0.001736838,0.021165519,0.994492721,0.102631533,0.358695570,0.358753553,0.359469089
MoonRock_000027,27,2,61460.513393722,-3941.735697176,575.483691942,0.001247698,-0.018826771,-0.062039463,0.997895336,0.298473103,0.298437197,0.298883670
MoonRock_000028,28,2,61509.341518722,-3965.148783113,577.092540514,0.026315873,-0.007343143,-0.889404191,0.456304436,0.473801269,0.473598641,0.475291447
MoonRock_000029,29,2,61677.786342941,-3845.178079988,586.141002428,-0.005167509,-0.056376523,-0.211124221,0.975818399,0.139389370,0.139806795,0.141559277
MoonRock_000030,30,2,61722.293178878,-3898.266458895,586.220348131,-0.016839049,-0.024855129,-0.057884471,0.997871764,0.355955538,0.355942807,0.357358688
MoonRock_000031,31,2,61984.536831222,-3938.976908113,595.076501620,-0.005985245,-0.034826068,0.812374299,0.582064705,0.427271501,0.426898456,0.428372491
MoonRock_000032,32,2,62520.913784347,-3993.798685457,621.058070910,0.000451288,-0.041408402,-0.636065934,0.770522724,0.353370924,0.353068628,0.355046356
MoonRock_000033,33,2,62536.770717941,-3960.961771395,622.545421374,-0.003556663,-0.015267366,-0.156989162,0.987475904,0.494645724,0.494839223,0.495246248
MoonRock_000034,34,2,57810.501186691,734.399556730,412.156975519,-0.041757872,0.004500571,-0.856957546,0.513672843,0.171127960,0.171324883,0.172045888
MoonRock_000035,35,2,57958.889858566,775.354146574,409.004605066,0.000675688,0.004281338,-0.874021826,0.485867328,0.485726008,0.485724986,0.485881899
MoonRock_000036,36,2,58563.028042160,-987.206888582,456.500327837,0.004809600,-0.014824432,-0.997344000,0.071148077,0.495098444,0.494883452,0.495243745
MoonRock_000037,37,2,58573.831264816,-576.330423738,449.303710711,0.003845800,0.011243258,0.305981449,0.951963314,0.396308131,0.396238602,0.396516594
MoonRock_000038,38,2,58697.476284347,825.732564543,401.947248232,0.004433895,-0.000865278,0.624546979,0.780974176,0.495208807,0.495206500,0.495159225
